"","year","tows","cpue_mean","cpue_sd","cpue_cv","totCatch"
"1",1990,14,100.683042003323,202.367975627317,200.995094705858,1315.094274
"2",1991,15,0,0,NA,0
"3",1992,15,0,0,NA,0
"4",1993,16,0,0,NA,0
"5",1994,16,9.71826834903693,14.6488889211144,150.735587812474,160.571696
"6",1995,16,428.92902164186,910.108027263222,212.181498882845,5314.08115553152
"7",1996,16,218.189034065634,406.295239867392,186.212493037195,3322.223895
"8",1997,16,187.410582885108,346.224255116101,184.741037451633,3201.454941
"9",1998,16,42.018187868965,38.2930142850565,91.1343782946434,666.327182
"10",1999,16,135.479448821266,191.235811802562,141.154849289986,2168.10715
"11",2000,16,125.396722014842,232.759452286148,185.618450423766,2012.589337
"12",2001,16,20.3339814264545,24.3305241286302,119.654501587064,328.197276
"13",2002,14,122.590950290274,170.248536593799,138.875289073687,1644.150998
"14",2003,16,65.2103046406345,65.5030878672461,100.448983068282,1036.912149
"15",2004,16,111.145250444613,128.017564591688,115.180418488042,1787.683521
"16",2005,15,149.815234672893,124.852439521615,83.3376123557914,2240.17729446907
"17",2006,17,20.8587891754058,23.0767632833304,110.633283117602,322.631837700291
"18",2007,16,75.141258827791,133.379375492613,177.504845637857,1210.52208733854
"19",2008,16,83.4984767871567,71.1407483836452,85.2000552836286,1316.31886779234
"20",2009,15,58.6022506430639,75.7928605894794,129.334385211791,875.938730143007
"21",2011,37,37.1630686166155,41.808985131257,112.501434051558,730.066833545877
"22",2012,37,109.127217271259,151.701387463207,139.013338062237,1857.34856324787
"23",2013,37,147.178218199838,164.96691415992,112.086500419463,2833.87268722964
"24",2017,38,261.599842119365,539.286282282912,206.149314890198,4996.45513025886
