"","Event","t2","s1","s2","totSamp","na.rm","year","totCatch","length","t1","sTot","sCPM"
"183","2000T04022",59.525853,0,0,NA,TRUE,2000,1096.78635,1,0,0,0
"184","2000T04023",65.364191,0,0,153.003923,TRUE,2000,481.715096,1,328.711173,0,0
"185","2001T04001",65.871539,0,0,195.79177,TRUE,2001,542.496474,1.01,346.704704,0,0
"186","2001T04005",44.546572,0.907184,0,142.565335,TRUE,2001,409.140317,1.02,266.574982,0.907184,0.889396078431372
"187","2001T04008",67.326373,0,0,241.830693,TRUE,2001,547.939582,1.01,306.108889,0,0
"188","2001T04009",47.772215,0,0,NA,TRUE,2001,342.915831,1.02,0,0,0
"189","2001T04010",31.469101,0,0,77.481926,TRUE,2001,245.847064,1.01,168.365138,0,0
"190","2001T04011",65.298018,0,0,210.167183,TRUE,2001,1114.930045,1.01,904.762862,0,0
"191","2001T04012",62.90419,0,0,118.054495,TRUE,2001,672.223892,1,554.169397,0,0
"192","2001T04014",57.872345,0.62,0,244.634432,TRUE,2001,673.131077,1.02,428.496645,0.62,0.607843137254902
"193","2001T04015",53.00875,0,0,286.155224,TRUE,2001,522.53841,1.01,236.383186,0,0
"194","2001T04016",51.853604,0.34,0,NA,TRUE,2001,442.706153,1.01,0,0.34,0.336633663366337
"195","2001T04017",60.106711,0.82,0,147.662851,TRUE,2001,363.78108,0.99,216.118229,0.82,0.828282828282828
"196","2001T04018",67.71254,0.5,0,237.572102,TRUE,2001,858.196764,1.01,620.624662,0.5,0.495049504950495
"197","2001T04019",49.834864,0,0,225.871517,TRUE,2001,613.256884,1.01,387.385367,0,0
"198","2001T04020",57.250157,1.05,0,651.011401,TRUE,2001,957.0799,1.01,306.068499,1.05,1.03960396039604
"199","2001T04021",61.179822,0.65,0,338.428055,TRUE,2001,1802.576078,1,1464.148023,0.65,0.65
"200","2001T04022",0,0,0,137.534744,TRUE,2001,1087.714503,0.74,950.179759,0,0
"201","2002T04001",55.537973,1.814369,0,367.352335,TRUE,2002,585.134157,1.01,217.781822,1.814369,1.79640495049505
"202","2002T04005",66.759819,0,0,NA,TRUE,2002,552.475506,0.8,0,0,0
"203","2003T04001",65.155744,0,0,319.060283,TRUE,2003,531.610257,1,212.549974,0,0
"204","2003T04002",68.59637,4.535923,0,277.319488,TRUE,2003,1163.010836,1,885.691348,4.535923,4.535923
"205","2003T04003",112.88272,0,0,507.699425,TRUE,2003,2212.169988,1.01,1704.470563,0,0
"206","2003T04004",26.917985,0,0,305.266512,TRUE,2003,392.810992,0.67,87.54448,0,0
"207","2003T04005",107.782794,0,0,240.681761,TRUE,2003,2322.392934,1,2081.711173,0,0
"208","2003T04006",72.328852,1,0,537.483841,TRUE,2003,986.109812,1.01,448.625971,1,0.99009900990099
"209","2003T04008",59.25045,0,0,339.281381,TRUE,2003,673.131077,1.01,333.849696,0,0
"210","2003T04009",70.916851,0,0,NA,TRUE,2003,1211.091627,1.01,0,0,0
"211","2003T04010",74.546038,0.907184,0,486.634311,TRUE,2003,774.735767,1.01,288.101456,0.907184,0.89820198019802
"212","2003T04011",107.457019,0,0,218.733553,TRUE,2003,839.145884,1,620.412331,0,0
"213","2003T04012",66.300113,2.721554,0,523.771216,TRUE,2003,523.445594,0.87,0,2.721554,3.12822298850575
"214","2003T04013",67.281375,0,0,214.455297,TRUE,2003,633.214948,1,418.759651,0,0
"215","2003T04014",52.177342,0,0,202.612819,TRUE,2003,990.645736,0.96,788.032917,0,0
"216","2003T04015",50.574787,0,0,163.892099,TRUE,2003,440.891783,0.81,276.999684,0,0
"217","2003T04016",70.346036,1.25,0,370.959811,TRUE,2003,888.13386,1.01,517.174049,1.25,1.23762376237624
"218","2003T04020",71.519544,0,0,504.646661,TRUE,2003,1083.178579,1.02,578.531918,0,0
"219","2004T04001",67.329836,0,0,408.044108,TRUE,2004,842.774623,1,434.730515,0,0
"220","2004T04002",64.41419,0,0,494.657026,TRUE,2004,1143.959957,1,649.302931,0,0
"221","2004T04003",75.642968,0,0,NA,TRUE,2004,667.687968,1,0,0,0
"222","2004T04004",43.285585,0,0,384.127223,TRUE,2004,866.361426,0.97,482.234203,0,0
"223","2004T04005",61.479821,0,0,204.973453,TRUE,2004,510.745008,0.99,305.771555,0,0
"224","2004T04006",62.734819,0,0,623.145583,TRUE,2004,764.756735,0.98,141.611152,0,0
"225","2004T04007",47.941495,0,0,NA,TRUE,2004,1145.774326,0.89,0,0,0
"226","2004T04008",63.215744,0,0,333.578828,TRUE,2004,1088.621688,0.99,755.04286,0,0
"227","2004T04009",75.230407,0,0,289.876001,TRUE,2004,526.167149,1.02,236.291148,0,0
"228","2004T04010",72.843561,0,0,NA,TRUE,2004,1202.01978,1,0,0,0
"229","2004T04011",41.003018,0,0,523.147079,TRUE,2004,1035.097788,1.01,511.950709,0,0
"230","2004T04012",94.730158,0,0,NA,TRUE,2004,1033.283418,1.07,0,0,0
"231","2004T04014",82.19633,0,0,420.317686,TRUE,2004,1515.9057,1.01,1095.588014,0,0
"232","2004T04015",69.744853,0,0,807.915632,TRUE,2004,1578.501447,1,770.585815,0,0
"233","2004T04022",66.214559,0,0,440.927603,TRUE,2004,871.804535,1,430.876932,0,0
"234","2004T04023",60.24482,0,0,177.664464,TRUE,2004,1436.073443,1,1258.408979,0,0
"235","2005T04001",68.08,1.1,0,616.18,TRUE,2005,1230,1.01,613.82,1.1,1.08910891089109
"236","2005T04002",78.63,0,0,NA,TRUE,2005,1402,1,0,0,0
"237","2005T04003",68.702,0,0,242.012,TRUE,2005,608,0.99,365.988,0,0
"238","2005T04004",92.56,0,0,NA,TRUE,2005,1162,1,0,0,0
"239","2005T04005",50.93,0,0,133.98,TRUE,2005,994,0.61,860.02,0,0
"240","2005T04006",71.43,0,0,483.03,TRUE,2005,962,1,478.97,0,0
"241","2005T04007",88.14,0,0,NA,TRUE,2005,1820,1.01,0,0,0
"242","2005T04010",82.22,0,0,272.571262,TRUE,2005,984,0.99,711.428738,0,0
"243","2005T04011",54.103,0.25,0,130.803,TRUE,2005,772,1.02,641.197,0.25,0.245098039215686
"244","2005T04015",46.46,0,0,280.157708,TRUE,2005,580,1,299.842292,0,0
"245","2005T04016",59.19,0.25,0,147.647378,TRUE,2005,482,1.01,334.352622,0.25,0.247524752475248
"246","2005T04017",63.34,0.72,0,507.37,TRUE,2005,1022,1,514.63,0.72,0.72
"247","2005T04018",89.13,1.2,0,403.555136,TRUE,2005,546,1.03,142.444864,1.2,1.16504854368932
"248","2005T04019",63.802,1.446,0,312.045612,TRUE,2005,808,1,495.954388,1.446,1.446
"249","2005T04022",67.12,0,0,579.234541,TRUE,2005,1026,1,446.765459,0,0
"250","2006T04001",54.24,1.5,0,325.84,TRUE,2006,976,1,650.16,1.5,1.5
"251","2006T04002",57.23,0,0,730.07,TRUE,2006,1284,1,553.93,0,0
"252","2006T04003",62.84,0,0,254.78,TRUE,2006,848,1,593.22,0,0
"253","2006T04004",61.34,0.5,0,NA,TRUE,2006,884,1,0,0.5,0.5
"254","2006T04006",65.23,1.2,0,554.38,TRUE,2006,716,0.76,161.62,1.2,1.57894736842105
"255","2006T04007",58.19,2,0,108.79,TRUE,2006,588,0.85,479.21,2,2.35294117647059
"256","2006T04008",102.01,0,0,173.13035,TRUE,2006,1098,1,924.86965,0,0
"257","2006T04010",139.11,0,0,408.022483,TRUE,2006,1336,1,927.977517,0,0
"258","2006T04011",71.95,2,0,684.45,TRUE,2006,1162,1,477.55,2,2
"259","2006T04012",152,5.1,0,418.9,TRUE,2006,2976,0.99,2557.1,5.1,5.15151515151515
"260","2006T04013",50.8,6,0,272.3,TRUE,2006,580,1,307.7,6,6
"261","2006T04014",68.365,0,0,141.895,TRUE,2006,596,1,454.105,0,0
"262","2006T04016",0,0,0,145.59,TRUE,2006,126,1,0,0,0
"263","2006T04021",59.53,0.9,0,540.03,TRUE,2006,658,0.65,117.97,0.9,1.38461538461538
"264","2006T04022",70,8,0,235.52,TRUE,2006,646,0.98,410.48,8,8.16326530612245
"265","2006T04023",70.63,7.9,0,704.19,TRUE,2006,1432,0.71,727.81,7.9,11.1267605633803
