"","year","tows","cpue_mean","cpue_sd","cpue_cv","totCatch"
"1",1990,14,0.0573979591836735,0.214763497965341,374.165738677394,0.45
"2",1991,15,0,0,NA,0
"3",1992,15,0,0,NA,0
"4",1993,16,0,0,NA,0
"5",1994,16,0,0,NA,0
"6",1995,16,0,0,NA,0
"7",1996,16,0,0,NA,0
"8",1997,16,0,0,NA,0
"9",1998,16,0.319512710262836,0.721667815483598,225.865135346241,5.08207432275395
"10",1999,16,0,0,NA,0
"11",2000,16,0.307149190781381,0.70656066296015,230.038262891943,4.16277049018615
"12",2001,16,0.55742727303789,1.00321074810443,179.971593897279,8.95668196318782
"13",2002,14,1.53983301089479,3.06240694545115,198.879159219453,19.5048959955281
"14",2003,16,3.28512144301678,5.28830956986447,160.977597376374,51.9653267982666
"15",2004,16,2.76572294377947,5.20126077879437,188.06152620937,44.3771461227361
"16",2005,15,7.75198986621451,10.9029590500112,140.647230429565,115.259094394744
"17",2006,17,16.0810900519973,23.3410911880579,145.146200366926,260.345810262459
"18",2007,16,6.06850010971781,6.11963840209224,100.842684212736,96.9814882550495
"19",2008,16,50.4883890450334,113.556971880463,224.917003747485,797.45936306964
"20",2009,15,12.5344470892926,28.65936367139,228.644817495555,187.865858248642
"21",2011,37,2.34657487661257,6.30425231204308,268.657624134444,46.337938002079
"22",2012,37,1.72263368216334,5.04728763194056,292.998313234072,31.5113006494072
"23",2013,37,0.865361299246493,2.99755033595478,346.39292727383,17.1600646972257
"24",2017,38,61.2616036584747,179.563507108856,293.109380730382,1164.43447348657
